Lineages	FT100061567_L01_UDB-393	FT100061567_L01_UDB-394	FT100061567_L01_UDB-396	FT100061567_L01_UDB-397	FT100061567_L01_UDB-400	FT100061567_L01_UDB-403	sum
EG.5.1.8	3.8244419012485594e-11	1.8747198610333592e-09	6.615656446583616e-11	0.9937694579855424	0.08172678463132267	1.5380846652556837e-09	1.0754962461340707
BA.5.2.6	2.2065020926435435e-10	0.999999982310069	4.0316495372587926e-10	1.4490621233277456e-09	4.2909926624058003e-10	3.2032771333815234e-09	0.9999999880153226
JN.1.1	0.0	0.0	2.2914685490595853e-11	0.0	0.0	0.9961671969952458	0.9961671970181605
BE.1	0.16666666708658556	3.4408839611975526e-10	0.16666666612181213	0.0	0.0	4.853776697974803e-09	0.3333333384062628
BA.5.2.36	0.1666666670870204	3.440883961197626e-10	0.16666666612045883	0.0	0.0	4.853776697974899e-09	0.33333333840534435
BA.5.3.1	0.16666666708681022	3.440883961197846e-10	0.16666666612028072	0.0	0.0	4.853776697974803e-09	0.33333333840495605
BE.1.1.1	0.16666666624932094	3.440883961197626e-10	0.1666666659692468	0.0	0.0	4.853776697974803e-09	0.3333333374164329
BE.1.1	0.16666666601935726	3.4408839611970397e-10	0.16666666613732195	0.0	0.0	4.853776697974803e-09	0.3333333373545443
BA.5.2	0.1666666659302915	3.4408839611971126e-10	0.16666666610795533	0.0	0.0	4.853776697974803e-09	0.3333333372361119
HK.3	0.0	0.0	0.0	8.36191403867484e-09	0.322645290762269	0.0	0.32264529912418305
HK.3.1	0.0	0.0	0.0	8.36191403867484e-09	0.32264529052911256	0.0	0.3226452988910266
BA.2.1	0.0	0.0	3.16502161488388e-10	0.0	0.07387246273349392	0.0	0.07387246304999608
XBB.1.5	0.0	4.957301433258788e-10	0.0	0.001008068838784419	0.07197321373747192	4.774039189168837e-09	0.07298128784602569
XBB.1.5.59	0.0	4.957301433259155e-10	0.0	0.001008068838784419	0.07197321373747192	4.774039189168837e-09	0.07298128784602569
BM.1	3.6809196462918383e-11	3.750772329915668e-10	2.516337800684655e-10	0.0	0.025295528656396993	4.322028748939183e-09	0.025295533641945953
BA.2.75.7	3.6809196462908186e-11	3.750772329916108e-10	2.5163378006846235e-10	0.0	0.02529552865639694	4.322028748939183e-09	0.0252955336419459
BA.2.86	0.0	3.0096761741984184e-10	0.0	7.363828616675694e-10	2.52365315863982e-10	0.003832790328862492	0.003832791618578287
