Lineages	53A_F	53B_F	53C_F	69A	69B_F	69C_F	sum
DY.1	0.3599889319312645	0.23888762252317677	0.14005757306830435	0.11780938229662298	0.6339626898578336	0.6503791459883201	2.1410853456655223
BA.5.2.49	0.26977314531772806	0.33653846146286226	0.3289244692780046	0.3499528621317327	0.26731170555789585	0.28456474032242624	1.8370653840706497
BA.5.2.48	0.281520502019511	0.3532176405783365	0.45921575280204946	0.39288480978883866	0.0	0.0	1.4868387051887357
BF.7.14	0.03440932745101531	4.039186697822161e-09	0.033976362593371494	0.058031948666787	0.04109172116009335	0.05522169579428634	0.2227310597047402
BF.7	0.025584992904532377	0.0	0.024777824103302756	0.0036257046867219497	0.03560433252206803	0.0	0.0895928542166251
BF.7.14.4	2.7154390939789878e-11	1.6254545638487921e-10	1.5175384681547632e-10	0.07022471910336323	7.240038061255549e-10	4.864635885481469e-11	0.07022472021746709
BA.5.2	0.004612542317594196	0.04886685784260956	0.002705635596103805	2.8294308323402486e-09	0.0	0.0	0.056185038585738395
BA.5.2.36	0.010354984734626507	0.00786143777063174	0.0017601451230057708	2.356793227318033e-09	0.008777145519324943	0.003694505108822322	0.03244822061320451
CT.1	0.010354984734382327	0.00786143777062677	0.0017601451230057573	2.356793227318033e-09	0.00877714551932494	0.003694505108822322	0.03244822061295534
JN.1.24	0.0006642347727159698	0.0033116256466990844	0.0005587964206323557	3.0831428397123144e-09	0.0021537002949816933	0.001511059507261818	0.008199419725433761
BA.5.2.6	0.000348840365134196	0.0	0.0031020682045127686	0.002408249217246962	0.0009237003174373889	0.0	0.006782858104331316
JN.1.24.1	0.00025040657105864905	0.0	0.0009194052964152687	0.0012269951144204298	0.0006666070906700732	0.0	0.0030634140725644206
BY.1.1	0.0	0.0	0.0005100101911922984	0.0009514137338058235	0.0	0.0	0.0014614239249981218
EG.2	4.2088874469035473e-13	1.281263519846343e-09	0.0002920564116624404	9.902238894744337e-10	0.0003656311511166357	0.0	0.0006576898346873743
XBB.1.5.28	4.2088874469006423e-13	1.281263519846343e-09	0.0002920564116624404	9.902238894744337e-10	0.00036563115111663564	0.0	0.0006576898346873742
BM.1.1.1	8.300264232224348e-05	0.0	1.7531407153780434e-09	0.0004048950099591082	0.0	3.9453618188364713e-13	0.0004878994058166032
BY.1	8.300264232224346e-05	0.0	1.7531407153781185e-09	0.0004048950099591082	0.0	3.9453618188325353e-13	0.0004878994058166032
BM.1.1	8.300264232224348e-05	0.0	1.7531407153781185e-09	0.00040489500995910814	0.0	3.945361818828599e-13	0.00048789940581660317
BA.2.75.6	8.300264232224254e-05	0.0	1.7531407153781748e-09	0.00040489500995910787	0.0	3.94536181882545e-13	0.000487899405816602
BM.2	8.300264232224258e-05	0.0	1.7531407153888526e-09	0.0004048950099591059	0.0	3.945361820196214e-13	0.0004878994058166001
BM.2.2	8.300264232224256e-05	0.0	1.7531407153853495e-09	0.0004048950099591056	0.0	3.945361818572294e-13	0.0004878994058165997
BM.1	0.00010043835687765773	0.00020878352782750667	0.0	8.386275714632563e-10	0.0	0.00010381647356197719	0.00041303919689471307
